260,407,125.696,34.492,23.023,196544.578,3821613.5,1
260,408,125.696,34.52,22.975,196649.109,3824809,1
260,409,125.696,34.549,22.912,196753.703,3828004.25,1
260,410,125.696,34.578,22.844,196858.375,3831199.75,1
260,411,125.696,34.607,22.786,196963.125,3834395.25,1
260,412,125.696,34.636,22.757,197067.953,3837590.75,1
261,398,125.728,34.231,23.13,198553.375,3792670.5,1
261,399,125.728,34.26,23.142,198656.547,3795877,1
261,400,125.728,34.289,23.169,198759.797,3799083.5,1
261,401,125.728,34.318,23.208,198863.125,3802290,1
261,402,125.728,34.347,23.26,198966.531,3805496.5,1
261,403,125.728,34.376,23.315,199070,3808702.75,1
261,404,125.728,34.405,23.356,199173.562,3811909.25,1
261,405,125.728,34.434,23.375,199277.203,3815115.75,1
261,406,125.728,34.463,23.364,199380.547,3818311.25,1
261,407,125.728,34.492,23.319,199484.344,3821517.75,1
261,408,125.728,34.52,23.237,199587.844,3824713.25,1
261,409,125.728,34.549,23.131,199691.422,3827908.75,1
261,410,125.728,34.578,23.027,199795.078,3831104,1
261,411,125.728,34.607,22.948,199898.812,3834299.5,1
261,412,125.728,34.636,22.902,200002.609,3837495,1
261,413,125.728,34.664,22.895,200106.5,3840690.5,1
261,414,125.728,34.693,22.921,200210.453,3843886,1
261,415,125.728,34.722,22.949,200314.5,3847081.5,1
261,416,125.728,34.751,22.97,200418.25,3850266,1
262,396,125.759,34.174,23.219,201288.547,3786152.75,1
262,397,125.759,34.203,23.186,201390.922,3789370,1
262,398,125.759,34.231,23.222,201493,3792576.5,1
262,399,125.759,34.26,23.267,201595.172,3795783,1
262,400,125.759,34.289,23.323,201697.406,3798989.25,1
262,401,125.759,34.318,23.402,201799.734,3802195.75,1
262,402,125.759,34.347,23.497,201902.125,3805402.25,1
262,403,125.759,34.376,23.585,202004.594,3808608.5,1
262,404,125.759,34.405,23.647,202107.141,3811815,1
262,405,125.759,34.434,23.661,202209.75,3815021.5,1
262,406,125.759,34.463,23.609,202312.094,3818216.75,1
262,407,125.759,34.492,23.494,202414.859,3821423.25,1
262,408,125.759,34.52,23.345,202517.359,3824618.75,1
262,409,125.759,34.549,23.208,202619.922,3827814.25,1
262,410,125.759,34.578,23.11,202722.562,3831009.5,1
262,411,125.759,34.607,23.047,202825.281,3834205,1
262,412,125.759,34.636,22.994,202928.078,3837400.5,1
262,413,125.759,34.664,22.948,203030.938,3840595.75,1
262,414,125.759,34.693,22.923,203133.891,3843791.25,1
262,415,125.759,34.722,22.893,203236.906,3846986.75,1
262,416,125.759,34.751,22.861,203339.641,3850171.25,1
262,417,125.759,34.779,22.846,203442.812,3853366.75,1
262,418,125.759,34.808,22.84,203545.688,3856551,1
262,419,125.759,34.837,22.854,203648.656,3859735.5,1
262,420,125.759,34.866,22.9,203752.047,3862931,1
263,396,125.791,34.174,23.279,204239.391,3786059.25,1
263,397,125.791,34.203,23.37,204340.75,3789276.75,1
263,398,125.791,34.231,23.437,204441.828,3792483,1
263,399,125.791,34.26,23.484,204542.969,3795689.5,1
263,400,125.791,34.289,23.538,204644.203,3798895.75,1
263,401,125.791,34.318,23.62,204745.5,3802102.25,1
263,402,125.791,34.347,23.713,204846.891,3805308.5,1
263,403,125.791,34.376,23.774,204948.344,3808515,1
263,404,125.791,34.405,23.768,205049.859,3811721.25,1
263,405,125.791,34.434,23.69,205151.469,3814927.75,1
263,406,125.791,34.463,23.558,205252.797,3818123,1
263,407,125.791,34.492,23.397,205354.547,3821329.5,1
263,408,125.791,34.52,23.242,205456.031,3824525,1
263,409,125.791,34.549,23.135,205557.578,3827720.25,1
263,410,125.791,34.578,23.088,205659.203,3830915.75,1
263,411,125.791,34.607,23.064,205760.906,3834111,1
263,412,125.791,34.636,23.017,205862.672,3837306.5,1
263,413,125.791,34.664,22.94,205964.516,3840501.75,1
263,414,125.791,34.693,22.873,206066.453,3843697.25,1
263,415,125.791,34.722,22.813,206168.438,3846892.75,1
263,416,125.791,34.751,22.761,206270.156,3850077,1
263,417,125.791,34.779,22.724,206372.312,3853272.5,1
263,418,125.791,34.808,22.693,206474.172,3856456.75,1
263,419,125.791,34.837,22.679,206576.109,3859641.25,1
263,420,125.791,34.866,22.704,206678.484,3862836.75,1
263,421,125.791,34.894,22.801,206780.562,3866021.25,1
263,422,125.791,34.923,22.98,206882.719,3869205.5,1
263,423,125.791,34.952,23.225,206984.594,3872378.75,1
263,424,125.791,34.98,23.484,207086.906,3875563.25,1
264,396,125.823,34.174,23.426,207190.203,3785966.75,1
264,397,125.823,34.203,23.553,207290.531,3789184.25,1
264,398,125.823,34.231,23.645,207390.609,3792390.5,1
264,399,125.823,34.26,23.711,207490.75,3795596.75,1
264,400,125.823,34.289,23.771,207590.953,3798803.25,1
264,401,125.823,34.318,23.837,207691.25,3802009.5,1
264,402,125.823,34.347,23.901,207791.609,3805215.75,1
264,403,125.823,34.376,23.914,207892.047,3808422.25,1
264,404,125.823,34.405,23.842,207992.562,3811628.5,1
264,405,125.823,34.434,23.685,208093.156,3814835,1
264,406,125.823,34.463,23.495,208193.469,3818030.25,1
264,407,125.823,34.492,23.331,208294.203,3821236.75,1
264,408,125.823,34.52,23.226,208394.656,3824432,1
264,409,125.823,34.549,23.199,208495.188,3827627.25,1
264,410,125.823,34.578,23.248,208595.797,3830822.75,1
264,412,125.823,34.636,23.061,208797.234,3837213.5,1
264,413,125.823,34.664,22.913,208898.078,3840408.75,1
264,414,125.823,34.693,22.857,208998.969,3843604.25,1
264,415,125.823,34.722,22.793,209099.953,3846799.5,1
